REF_DATE,GEO,DGUID,Flowers and plants,Output,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2008,Canada,2016A000011124,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221120,1.2.2,55515310,,,,0
2008,Canada,2016A000011124,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221131,1.3.1,248257950,,,,0
2008,Canada,2016A000011124,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221142,1.3.2,127343695,,,,0
2008,Canada,2016A000011124,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221153,1.4.1,618832810,,,,0
2008,Canada,2016A000011124,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221164,1.4.2,223121675,,,,0
2008,Canada,2016A000011124,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221175,1.5.1,520933036,,,,0
2008,Canada,2016A000011124,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221186,1.5.2,59882400,,,,0
2008,Newfoundland and Labrador,2016A000210,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221077,2.1.1,479310,,,,0
2008,Newfoundland and Labrador,2016A000210,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221088,2.1.2,2346670,,,,0
2008,Newfoundland and Labrador,2016A000210,Total cuttings [1151433],Production (number),Number,223,units,0,v52221099,2.2.1,,x,,,0
2008,Newfoundland and Labrador,2016A000210,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221110,2.2.2,,x,,,0
2008,Newfoundland and Labrador,2016A000210,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221121,2.3.1,,x,,,0
2008,Newfoundland and Labrador,2016A000210,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221132,2.3.2,,x,,,0
2008,Newfoundland and Labrador,2016A000210,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221143,2.4.1,5111700,,,,0
2008,Newfoundland and Labrador,2016A000210,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221154,2.4.2,2531325,,,,0
2008,Newfoundland and Labrador,2016A000210,Total vegetable bedding plants [115143421],Production (number),Number,223,units,0,v52221165,2.5.1,331650,,,,0
2008,Newfoundland and Labrador,2016A000210,Total vegetable bedding plants [115143421],Sales,Dollars,81,units,0,v52221176,2.5.2,236500,E,,,0
2008,Prince Edward Island,2016A000211,Total potted plants [1151431 + 1151432],Production (number),Number,223,units,0,v52221078,3.1.1,78050,,,,0
2008,Prince Edward Island,2016A000211,Total potted plants [1151431 + 1151432],Sales,Dollars,81,units,0,v52221089,3.1.2,325000,,,,0
2008,Prince Edward Island,2016A000211,Total cuttings [1151433],Production (number),Number,223,units,0,v52221100,3.2.1,0,,,,0
2008,Prince Edward Island,2016A000211,Total cuttings [1151433],Sales,Dollars,81,units,0,v52221111,3.2.2,0,,,,0
2008,Prince Edward Island,2016A000211,Total cut flowers [1151435],Production (number),Number,223,units,0,v52221122,3.3.1,,x,,,0
2008,Prince Edward Island,2016A000211,Total cut flowers [1151435],Sales,Dollars,81,units,0,v52221133,3.3.2,,x,,,0
2008,Prince Edward Island,2016A000211,Total ornamental bedding plants [115143411],Production (number),Number,223,units,0,v52221144,3.4.1,1060000,E,,,0
2008,Prince Edward Island,2016A000211,Total ornamental bedding plants [115143411],Sales,Dollars,81,units,0,v52221155,3.4.2,1040200,,,,0
